750435;0;4;73773.914;4;2.2173913;0.6086956;0.82608694;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;1183;73100;
753048;0;4;73368.18;3;2.409091;0.4090909;0.8181818;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;544;73100;
751717;0;4;75310.52;6;3.368421;0.21052632;0.6315789;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;3327;73300;
752583;0;4;73800;1;1.8235294;0.8235294;0.88235295;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;499;72800;
750792;0;4;73918.18;9;2.6363637;0.45454547;0.72727275;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;530;73400;
753563;0;4;73944.445;2;3.0555556;0.22222222;0.7222222;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;3238;0;
753131;0;4;73315;5;2.5;0.35;0.8;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;3299;73100;
751126;0;4;73622.73;8;2.7727273;0.45454547;0.72727275;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;4693;73300;
750549;0;4;74800;11;3;0.6;0.7;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;1668;80300;
751560;0;4;73600;2;1.625;0.625;0.9375;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;330;73100;
750499;0;4;74012.5;10;4.5625;0.1875;0.5625;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;7123;74100;
751454;0;4;74604.164;7;4.375;0.083333336;0.41666666;0;0;0;0;0;0;2640;0;0;74005;73315;69600;8;0;3340;73300;
747109;0;6;75706.25;6;3.96875;0.25;0.46875;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;1488;0;
746937;0;5;74940.74;1;3.6296296;0.2962963;0.5555556;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;973;72600;
750489;0;4;76235;2;3.2;0.3;0.6;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;3359;72900;
755645;0;6;75700;7;2.625;0.25;0.875;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;11105;73500;
743860;0;5;74507.695;3;3.8461537;0.23076923;0.5769231;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;4854;72900;
727340;0;8;74594.445;10;3.3333333;0.30555555;0.6944444;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;33362;74200;
777471;0;7;73211.11;8;3.6666667;0.33333334;0.5555556;0;0;0;0;0;0;2140;0;0;74754;73211;70600;3;0;366;73600;
